start_ship                , end_ship                  , total_distance    , path
Freelancer MIS            , Mustang Beta              , 5.0               , Freelancer MIS              -> Mustang Beta
Freelancer MIS            , Mustang Delta             , 4.0               , Freelancer MIS              -> Mustang Delta
Freelancer MIS            , Mustang Gamma             , 5.0               , Freelancer MIS              -> Mustang Gamma
Freelancer MIS            , Mustang Omega             , 5.0               , Freelancer MIS              -> Mustang Omega
Freelancer MIS            , Nautilus                  , 4.0               , Freelancer MIS              -> Nautilus
Freelancer MIS            , Nomad                     , 5.0               , Freelancer MIS              -> Nomad
Freelancer MIS            , Nova                      , 4.0               , Freelancer MIS              -> Nova
Freelancer MIS            , Nox                       , 5.0               , Freelancer MIS              -> Nox
Freelancer MIS            , Odyssey                   , 5.5               , Freelancer MIS              -> Odyssey
Freelancer MIS            , Orion                     , 4.857142857142858 , Freelancer MIS              -> Orion
Freelancer MIS            , P-52 Merlin               , 4.0               , Freelancer MIS              -> P-52 Merlin
Freelancer MIS            , P-72 Archimedes           , 5.0               , Freelancer MIS              -> P-72 Archimedes
Freelancer MIS            , Paladin                   , 2.0               , Freelancer MIS              -> Paladin
Freelancer MIS            , Perseus                   , 3.6666666666666665, Freelancer MIS              -> Perseus
Freelancer MIS            , Pioneer                   , 5.0               , Freelancer MIS              -> Pioneer
Freelancer MIS            , Polaris                   , 3.833333333333333 , Freelancer MIS              -> Polaris
Freelancer MIS            , Prospector                , 3.5               , Freelancer MIS              -> Prospector
Freelancer MIS            , Prowler                   , 3.5               , Freelancer MIS              -> Prowler
Freelancer MIS            , PTV                       , 4.5               , Freelancer MIS              -> PTV
Freelancer MIS            , Pulse                     , 5.0               , Freelancer MIS              -> Pulse
Freelancer MIS            , Pulse LX                  , 5.0               , Freelancer MIS              -> Pulse LX
Freelancer MIS            , RAFT                      , 4.5               , Freelancer MIS              -> RAFT
Freelancer MIS            , Railen                    , 4.0               , Freelancer MIS              -> Railen
Freelancer MIS            , Ranger CV                 , 5.5               , Freelancer MIS              -> Ranger CV
Freelancer MIS            , Ranger RC                 , 5.5               , Freelancer MIS              -> Ranger RC
Freelancer MIS            , Ranger TR                 , 5.5               , Freelancer MIS              -> Ranger TR
Freelancer MIS            , Razor                     , 5.0               , Freelancer MIS              -> Razor
Freelancer MIS            , Razor EX                  , 5.0               , Freelancer MIS              -> Razor EX
Freelancer MIS            , Razor LX                  , 5.0               , Freelancer MIS              -> Razor LX
Freelancer MIS            , Reclaimer                 , 3.9               , Freelancer MIS              -> Reclaimer
Freelancer MIS            , Redeemer                  , 1.5               , Freelancer MIS              -> Redeemer
Freelancer MIS            , Reliant Kore              , 3.0               , Freelancer MIS              -> Reliant Kore
Freelancer MIS            , Reliant Mako              , 3.0               , Freelancer MIS              -> Reliant Mako
Freelancer MIS            , Reliant Sen               , 3.0               , Freelancer MIS              -> Reliant Sen
Freelancer MIS            , Reliant Tana              , 2.0               , Freelancer MIS              -> Reliant Tana
Freelancer MIS            , Retaliator                , 3.357142857142857 , Freelancer MIS              -> Retaliator
Freelancer MIS            , ROC                       , 5.0               , Freelancer MIS              -> ROC
Freelancer MIS            , ROC-DS                    , 4.5               , Freelancer MIS              -> ROC-DS
Freelancer MIS            , Sabre                     , 4.0               , Freelancer MIS              -> Sabre
Freelancer MIS            , Sabre Firebird            , 4.0               , Freelancer MIS              -> Sabre Firebird
Freelancer MIS            , Sabre Peregrine           , 5.0               , Freelancer MIS              -> Sabre Peregrine
Freelancer MIS            , Sabre Raven               , 4.0               , Freelancer MIS              -> Sabre Raven
Freelancer MIS            , San'tok.yāi               , 4.0               , Freelancer MIS              -> San'tok.yāi
Freelancer MIS            , Scorpius                  , 3.5               , Freelancer MIS              -> Scorpius
Freelancer MIS            , Scorpius Antares          , 3.5               , Freelancer MIS              -> Scorpius Antares
Freelancer MIS            , Scythe                    , 4.0               , Freelancer MIS              -> Scythe
Freelancer MIS            , Spartan                   , 5.0               , Freelancer MIS              -> Spartan
Freelancer MIS            , SRV                       , 5.0               , Freelancer MIS              -> SRV
Freelancer MIS            , Starfarer                 , 2.857142857142857 , Freelancer MIS              -> Starfarer
Freelancer MIS            , Starfarer Gemini          , 2.6666666666666665, Freelancer MIS              -> Starfarer Gemini
Freelancer MIS            , Starlancer MAX            , 2.0               , Freelancer MIS              -> Starlancer MAX
Freelancer MIS            , Starlancer TAC            , 3.6666666666666665, Freelancer MIS              -> Starlancer TAC
Freelancer MIS            , Storm                     , 5.0               , Freelancer MIS              -> Storm
Freelancer MIS            , Storm AA                  , 5.0               , Freelancer MIS              -> Storm AA
Freelancer MIS            , STV                       , 4.5               , Freelancer MIS              -> STV
Freelancer MIS            , Talon                     , 4.0               , Freelancer MIS              -> Talon
Freelancer MIS            , Ursa                      , 4.0               , Freelancer MIS              -> Ursa
Freelancer MIS            , Talon Shrike              , 4.0               , Freelancer MIS              -> Talon Shrike
Freelancer MIS            , Terrapin                  , 5.0               , Freelancer MIS              -> Terrapin
Freelancer MIS            , Terrapin Medic            , 5.0               , Freelancer MIS              -> Terrapin Medic
Freelancer MIS            , Ursa Medivac              , 4.0               , Freelancer MIS              -> Ursa Medivac
Freelancer MIS            , Valkyrie                  , 2.9               , Freelancer MIS              -> Valkyrie
Freelancer MIS            , Vanguard Harbinger        , 3.5               , Freelancer MIS              -> Vanguard Harbinger
Freelancer MIS            , Vanguard Hoplite          , 3.5               , Freelancer MIS              -> Vanguard Hoplite
Freelancer MIS            , Vanguard Sentinel         , 3.5               , Freelancer MIS              -> Vanguard Sentinel
Freelancer MIS            , Vanguard Warden           , 3.5               , Freelancer MIS              -> Vanguard Warden
Freelancer MIS            , Vulcan                    , 4.5               , Freelancer MIS              -> Vulcan
Freelancer MIS            , Vulture                   , 5.0               , Freelancer MIS              -> Vulture
Freelancer MIS            , X1                        , 5.0               , Freelancer MIS              -> X1
Freelancer MIS            , X1 Force                  , 5.0               , Freelancer MIS              -> X1 Force
Freelancer MIS            , X1 Velocity               , 5.0               , Freelancer MIS              -> X1 Velocity
Freelancer MIS            , Zeus CL Mk II             , 4.0               , Freelancer MIS              -> Zeus CL Mk II
Freelancer MIS            , Zeus ES Mk II             , 4.0               , Freelancer MIS              -> Zeus ES Mk II
Freelancer MIS            , Zeus MR Mk II             , 3.5               , Freelancer MIS              -> Zeus MR Mk II
Fury                      , Fury LX                   , 2.0               , Fury                        -> Fury LX
Fury                      , Fury MX                   , 0.0               , Fury                        -> Fury MX
Fury                      , G12                       , 5.0               , Fury                        -> G12
Fury                      , G12a                      , 5.0               , Fury                        -> G12a
Fury                      , G12r                      , 5.0               , Fury                        -> G12r
Fury                      , Galaxy                    , 5.666666666666667 , Fury                        -> Galaxy
Fury                      , Genesis                   , 5.75              , Fury                        -> Genesis
Fury                      , Gladiator                 , 3.5               , Fury                        -> Gladiator
Fury                      , Gladius                   , 2.5               , Fury                        -> Gladius
Fury                      , Glaive                    , 2.5               , Fury                        -> Glaive
Fury                      , Guardian                  , 1.0               , Fury                        -> Guardian
Fury                      , Guardian QI               , 1.0               , Fury                        -> Guardian QI
Fury                      , Hammerhead                , 4.277777777777778 , Fury                        -> Hammerhead
Fury                      , Hawk                      , 2.5               , Fury                        -> Hawk
Fury                      , Herald                    , 3.5               , Fury                        -> Herald
Fury                      , HoverQuad                 , 3.5               , Fury                        -> HoverQuad
Fury                      , Hull A                    , 3.5               , Fury                        -> Hull A
Fury                      , Hull B                    , 4.0               , Fury                        -> Hull B
Fury                      , Hull C                    , 5.0               , Fury                        -> Hull C
Fury                      , Hull D                    , 5.6               , Fury                        -> Hull D
Fury                      , Hull E                    , 5.6               , Fury                        -> Hull E
Fury                      , Hurricane                 , 3.5               , Fury                        -> Hurricane
Fury                      , Idris-M                   , 4.928571428571429 , Fury                        -> Idris-M
Fury                      , Idris-P                   , 4.928571428571429 , Fury                        -> Idris-P
Fury                      , Intrepid                  , 3.5               , Fury                        -> Intrepid
Fury                      , Ironclad                  , 5.666666666666667 , Fury                        -> Ironclad
Fury                      , Ironclad Assault          , 4.666666666666667 , Fury                        -> Ironclad Assault
Fury                      , Javelin                   , 4.975             , Fury                        -> Javelin
Fury                      , Khartu-Al                 , 2.5               , Fury                        -> Khartu-Al
Fury                      , Kraken                    , 5.8               , Fury                        -> Kraken
Fury                      , Kraken Privateer          , 5.8               , Fury                        -> Kraken Privateer
Fury                      , Legionnaire               , 4.0               , Fury                        -> Legionnaire
Fury                      , Liberator                 , 5.0               , Fury                        -> Liberator
Fury                      , Lynx                      , 4.5               , Fury                        -> Lynx
Fury                      , M2 Hercules               , 3.833333333333333 , Fury                        -> M2 Hercules
Fury                      , M50                       , 3.5               , Fury                        -> M50
Fury                      , Mantis                    , 2.5               , Fury                        -> Mantis
Fury                      , Merchantman               , 5.75              , Fury                        -> Merchantman
Fury                      , Mercury                   , 4.833333333333333 , Fury                        -> Mercury
Fury                      , MOLE                      , 5.0               , Fury                        -> MOLE
Fury                      , MPUV Cargo                , 3.5               , Fury                        -> MPUV Cargo
Fury                      , MPUV Personnel            , 3.5               , Fury                        -> MPUV Personnel
Fury                      , MPUV Tractor              , 3.5               , Fury                        -> MPUV Tractor
Fury                      , Mule                      , 3.5               , Fury                        -> Mule
Fury                      , Mustang Alpha             , 3.5               , Fury                        -> Mustang Alpha
Fury                      , Mustang Beta              , 3.5               , Fury                        -> Mustang Beta
Fury                      , Mustang Delta             , 2.5               , Fury                        -> Mustang Delta
Fury                      , Mustang Gamma             , 3.5               , Fury                        -> Mustang Gamma
Fury                      , Mustang Omega             , 3.5               , Fury                        -> Mustang Omega
Fury                      , Nautilus                  , 4.75              , Fury                        -> Nautilus
Fury                      , Nomad                     , 3.5               , Fury                        -> Nomad
Fury                      , Nova                      , 4.833333333333333 , Fury                        -> Nova
Fury                      , Nox                       , 3.5               , Fury                        -> Nox
Fury                      , Odyssey                   , 4.0               , Fury                        -> Odyssey
Fury                      , Orion                     , 5.714285714285714 , Fury                        -> Orion
Fury                      , P-52 Merlin               , 1.5               , Fury                        -> P-52 Merlin
Fury                      , P-72 Archimedes           , 3.5               , Fury                        -> P-72 Archimedes
Fury                      , Paladin                   , 4.5               , Fury                        -> Paladin
Fury                      , Perseus                   , 4.666666666666667 , Fury                        -> Perseus
Fury                      , Pioneer                   , 5.75              , Fury                        -> Pioneer
Fury                      , Polaris                   , 4.333333333333333 , Fury                        -> Polaris
Fury                      , Prospector                , 3.5               , Fury                        -> Prospector
Fury                      , Prowler                   , 3.5               , Fury                        -> Prowler
Fury                      , PTV                       , 4.5               , Fury                        -> PTV
Fury                      , Pulse                     , 2.0               , Fury                        -> Pulse
Fury                      , Pulse LX                  , 2.0               , Fury                        -> Pulse LX
Fury                      , RAFT                      , 4.5               , Fury                        -> RAFT
Fury                      , Railen                    , 5.5               , Fury                        -> Railen
Fury                      , Ranger CV                 , 4.0               , Fury                        -> Ranger CV
Fury                      , Ranger RC                 , 4.0               , Fury                        -> Ranger RC
Fury                      , Ranger TR                 , 4.0               , Fury                        -> Ranger TR
Fury                      , Razor                     , 2.0               , Fury                        -> Razor
Fury                      , Razor EX                  , 2.0               , Fury                        -> Razor EX
Fury                      , Razor LX                  , 2.0               , Fury                        -> Razor LX
Fury                      , Reclaimer                 , 5.1               , Fury                        -> Reclaimer
Fury                      , Redeemer                  , 4.0               , Fury                        -> Redeemer
Fury                      , Reliant Kore              , 4.5               , Fury                        -> Reliant Kore
Fury                      , Reliant Mako              , 4.5               , Fury                        -> Reliant Mako
Fury                      , Reliant Sen               , 4.5               , Fury                        -> Reliant Sen
Fury                      , Reliant Tana              , 3.5               , Fury                        -> Reliant Tana
Fury                      , Retaliator                , 4.214285714285714 , Fury                        -> Retaliator
Fury                      , ROC                       , 3.5               , Fury                        -> ROC
Fury                      , ROC-DS                    , 4.5               , Fury                        -> ROC-DS
Fury                      , Sabre                     , 2.5               , Fury                        -> Sabre
Fury                      , Sabre Firebird            , 2.5               , Fury                        -> Sabre Firebird
Fury                      , Sabre Peregrine           , 3.5               , Fury                        -> Sabre Peregrine
Fury                      , Sabre Raven               , 2.5               , Fury                        -> Sabre Raven
Fury                      , San'tok.yāi               , 2.5               , Fury                        -> San'tok.yāi
Fury                      , Scorpius                  , 3.5               , Fury                        -> Scorpius
Fury                      , Scorpius Antares          , 3.5               , Fury                        -> Scorpius Antares
Fury                      , Scythe                    , 2.5               , Fury                        -> Scythe
Fury                      , Spartan                   , 3.5               , Fury                        -> Spartan
Fury                      , SRV                       , 3.5               , Fury                        -> SRV
Fury                      , Starfarer                 , 5.214285714285714 , Fury                        -> Starfarer
Fury                      , Starfarer Gemini          , 5.166666666666667 , Fury                        -> Starfarer Gemini
Fury                      , Starlancer MAX            , 5.0               , Fury                        -> Starlancer MAX
Fury                      , Starlancer TAC            , 4.666666666666667 , Fury                        -> Starlancer TAC
Fury                      , Storm                     , 3.5               , Fury                        -> Storm
Fury                      , Storm AA                  , 3.5               , Fury                        -> Storm AA
Fury                      , STV                       , 4.5               , Fury                        -> STV
Fury                      , Talon                     , 2.5               , Fury                        -> Talon
Fury                      , Ursa                      , 4.833333333333333 , Fury                        -> Ursa
Fury                      , Talon Shrike              , 2.5               , Fury                        -> Talon Shrike
Fury                      , Terrapin                  , 3.5               , Fury                        -> Terrapin
Fury                      , Terrapin Medic            , 3.5               , Fury                        -> Terrapin Medic
Fury                      , Ursa Medivac              , 4.833333333333333 , Fury                        -> Ursa Medivac
Fury                      , Valkyrie                  , 4.1               , Fury                        -> Valkyrie
Fury                      , Vanguard Harbinger        , 3.5               , Fury                        -> Vanguard Harbinger
Fury                      , Vanguard Hoplite          , 3.5               , Fury                        -> Vanguard Hoplite
Fury                      , Vanguard Sentinel         , 3.5               , Fury                        -> Vanguard Sentinel
Fury                      , Vanguard Warden           , 3.5               , Fury                        -> Vanguard Warden
Fury                      , Vulcan                    , 5.333333333333333 , Fury                        -> Vulcan
Fury                      , Vulture                   , 3.5               , Fury                        -> Vulture
Fury                      , X1                        , 3.5               , Fury                        -> X1
Fury                      , X1 Force                  , 3.5               , Fury                        -> X1 Force
Fury                      , X1 Velocity               , 3.5               , Fury                        -> X1 Velocity
Fury                      , Zeus CL Mk II             , 4.833333333333333 , Fury                        -> Zeus CL Mk II
Fury                      , Zeus ES Mk II             , 4.833333333333333 , Fury                        -> Zeus ES Mk II
Fury                      , Zeus MR Mk II             , 4.333333333333333 , Fury                        -> Zeus MR Mk II
Fury LX                   , Fury MX                   , 2.0               , Fury LX                     -> Fury MX
Fury LX                   , G12                       , 5.0               , Fury LX                     -> G12
Fury LX                   , G12a                      , 5.0               , Fury LX                     -> G12a
Fury LX                   , G12r                      , 3.0               , Fury LX                     -> G12r
Fury LX                   , Galaxy                    , 5.666666666666667 , Fury LX                     -> Galaxy
Fury LX                   , Genesis                   , 5.75              , Fury LX                     -> Genesis
Fury LX                   , Gladiator                 , 4.5               , Fury LX                     -> Gladiator
Fury LX                   , Gladius                   , 3.5               , Fury LX                     -> Gladius
Fury LX                   , Glaive                    , 3.5               , Fury LX                     -> Glaive
Fury LX                   , Guardian                  , 2.0               , Fury LX                     -> Guardian
Fury LX                   , Guardian QI               , 2.0               , Fury LX                     -> Guardian QI
Fury LX                   , Hammerhead                , 5.277777777777778 , Fury LX                     -> Hammerhead
Fury LX                   , Hawk                      , 3.5               , Fury LX                     -> Hawk
Fury LX                   , Herald                    , 3.5               , Fury LX                     -> Herald
Fury LX                   , HoverQuad                 , 2.5               , Fury LX                     -> HoverQuad
Fury LX                   , Hull A                    , 3.5               , Fury LX                     -> Hull A
Fury LX                   , Hull B                    , 4.0               , Fury LX                     -> Hull B
Fury LX                   , Hull C                    , 5.0               , Fury LX                     -> Hull C
Fury LX                   , Hull D                    , 5.6               , Fury LX                     -> Hull D
Fury LX                   , Hull E                    , 5.6               , Fury LX                     -> Hull E
Fury LX                   , Hurricane                 , 4.5               , Fury LX                     -> Hurricane
Fury LX                   , Idris-M                   , 5.928571428571429 , Fury LX                     -> Idris-M
Fury LX                   , Idris-P                   , 5.928571428571429 , Fury LX                     -> Idris-P
Fury LX                   , Intrepid                  , 3.5               , Fury LX                     -> Intrepid
Fury LX                   , Ironclad                  , 5.666666666666667 , Fury LX                     -> Ironclad
Fury LX                   , Ironclad Assault          , 5.666666666666667 , Fury LX                     -> Ironclad Assault
Fury LX                   , Javelin                   , 5.975             , Fury LX                     -> Javelin
Fury LX                   , Khartu-Al                 , 3.5               , Fury LX                     -> Khartu-Al
Fury LX                   , Kraken                    , 5.8               , Fury LX                     -> Kraken
Fury LX                   , Kraken Privateer          , 5.8               , Fury LX                     -> Kraken Privateer
Fury LX                   , Legionnaire               , 5.0               , Fury LX                     -> Legionnaire
Fury LX                   , Liberator                 , 5.0               , Fury LX                     -> Liberator
Fury LX                   , Lynx                      , 4.5               , Fury LX                     -> Lynx
Fury LX                   , M2 Hercules               , 4.833333333333333 , Fury LX                     -> M2 Hercules
Fury LX                   , M50                       , 1.5               , Fury LX                     -> M50
Fury LX                   , Mantis                    , 3.5               , Fury LX                     -> Mantis
Fury LX                   , Merchantman               , 5.75              , Fury LX                     -> Merchantman
Fury LX                   , Mercury                   , 4.833333333333333 , Fury LX                     -> Mercury
Fury LX                   , MOLE                      , 5.0               , Fury LX                     -> MOLE
Fury LX                   , MPUV Cargo                , 3.5               , Fury LX                     -> MPUV Cargo
Fury LX                   , MPUV Personnel            , 3.5               , Fury LX                     -> MPUV Personnel
Fury LX                   , MPUV Tractor              , 3.5               , Fury LX                     -> MPUV Tractor
Fury LX                   , Mule                      , 3.5               , Fury LX                     -> Mule
Fury LX                   , Mustang Alpha             , 3.5               , Fury LX                     -> Mustang Alpha
Fury LX                   , Mustang Beta              , 3.5               , Fury LX                     -> Mustang Beta
Fury LX                   , Mustang Delta             , 3.5               , Fury LX                     -> Mustang Delta
Fury LX                   , Mustang Gamma             , 1.5               , Fury LX                     -> Mustang Gamma
Fury LX                   , Mustang Omega             , 1.5               , Fury LX                     -> Mustang Omega
Fury LX                   , Nautilus                  , 5.75              , Fury LX                     -> Nautilus
Fury LX                   , Nomad                     , 3.5               , Fury LX                     -> Nomad
Fury LX                   , Nova                      , 4.833333333333333 , Fury LX                     -> Nova
Fury LX                   , Nox                       , 1.5               , Fury LX                     -> Nox
Fury LX                   , Odyssey                   , 4.0               , Fury LX                     -> Odyssey
Fury LX                   , Orion                     , 5.714285714285714 , Fury LX                     -> Orion
Fury LX                   , P-52 Merlin               , 3.5               , Fury LX                     -> P-52 Merlin
Fury LX                   , P-72 Archimedes           , 1.5               , Fury LX                     -> P-72 Archimedes
Fury LX                   , Paladin                   , 5.5               , Fury LX                     -> Paladin
Fury LX                   , Perseus                   , 5.666666666666667 , Fury LX                     -> Perseus
Fury LX                   , Pioneer                   , 5.75              , Fury LX                     -> Pioneer
Fury LX                   , Polaris                   , 5.333333333333333 , Fury LX                     -> Polaris
Fury LX                   , Prospector                , 3.5               , Fury LX                     -> Prospector
Fury LX                   , Prowler                   , 4.5               , Fury LX                     -> Prowler
Fury LX                   , PTV                       , 4.5               , Fury LX                     -> PTV
Fury LX                   , Pulse                     , 2.0               , Fury LX                     -> Pulse
Fury LX                   , Pulse LX                  , 1.0               , Fury LX                     -> Pulse LX
Fury LX                   , RAFT                      , 4.5               , Fury LX                     -> RAFT
Fury LX                   , Railen                    , 5.5               , Fury LX                     -> Railen
Fury LX                   , Ranger CV                 , 4.0               , Fury LX                     -> Ranger CV
Fury LX                   , Ranger RC                 , 3.0               , Fury LX                     -> Ranger RC
Fury LX                   , Ranger TR                 , 4.0               , Fury LX                     -> Ranger TR
Fury LX                   , Razor                     , 0.0               , Fury LX                     -> Razor
Fury LX                   , Razor EX                  , 1.0               , Fury LX                     -> Razor EX
Fury LX                   , Razor LX                  , 1.0               , Fury LX                     -> Razor LX
Fury LX                   , Reclaimer                 , 5.1               , Fury LX                     -> Reclaimer
Fury LX                   , Redeemer                  , 5.0               , Fury LX                     -> Redeemer
Fury LX                   , Reliant Kore              , 4.5               , Fury LX                     -> Reliant Kore
Fury LX                   , Reliant Mako              , 4.5               , Fury LX                     -> Reliant Mako
Fury LX                   , Reliant Sen               , 4.5               , Fury LX                     -> Reliant Sen
Fury LX                   , Reliant Tana              , 4.5               , Fury LX                     -> Reliant Tana
Fury LX                   , Retaliator                , 5.214285714285714 , Fury LX                     -> Retaliator
Fury LX                   , ROC                       , 3.5               , Fury LX                     -> ROC
Fury LX                   , ROC-DS                    , 4.5               , Fury LX                     -> ROC-DS
Fury LX                   , Sabre                     , 3.5               , Fury LX                     -> Sabre
Fury LX                   , Sabre Firebird            , 3.5               , Fury LX                     -> Sabre Firebird
Fury LX                   , Sabre Peregrine           , 1.5               , Fury LX                     -> Sabre Peregrine
Fury LX                   , Sabre Raven               , 3.5               , Fury LX                     -> Sabre Raven
Fury LX                   , San'tok.yāi               , 3.5               , Fury LX                     -> San'tok.yāi
Fury LX                   , Scorpius                  , 4.5               , Fury LX                     -> Scorpius
Fury LX                   , Scorpius Antares          , 4.5               , Fury LX                     -> Scorpius Antares
Fury LX                   , Scythe                    , 3.5               , Fury LX                     -> Scythe
Fury LX                   , Spartan                   , 3.5               , Fury LX                     -> Spartan
Fury LX                   , SRV                       , 3.5               , Fury LX                     -> SRV
Fury LX                   , Starfarer                 , 5.214285714285714 , Fury LX                     -> Starfarer
Fury LX                   , Starfarer Gemini          , 5.166666666666667 , Fury LX                     -> Starfarer Gemini
Fury LX                   , Starlancer MAX            , 5.0               , Fury LX                     -> Starlancer MAX
Fury LX                   , Starlancer TAC            , 5.666666666666667 , Fury LX                     -> Starlancer TAC
Fury LX                   , Storm                     , 3.5               , Fury LX                     -> Storm
Fury LX                   , Storm AA                  , 3.5               , Fury LX                     -> Storm AA
Fury LX                   , STV                       , 4.5               , Fury LX                     -> STV
Fury LX                   , Talon                     , 3.5               , Fury LX                     -> Talon
Fury LX                   , Ursa                      , 4.833333333333333 , Fury LX                     -> Ursa
Fury LX                   , Talon Shrike              , 3.5               , Fury LX                     -> Talon Shrike
Fury LX                   , Terrapin                  , 3.5               , Fury LX                     -> Terrapin
Fury LX                   , Terrapin Medic            , 3.5               , Fury LX                     -> Terrapin Medic
Fury LX                   , Ursa Medivac              , 4.833333333333333 , Fury LX                     -> Ursa Medivac
Fury LX                   , Valkyrie                  , 5.1               , Fury LX                     -> Valkyrie
Fury LX                   , Vanguard Harbinger        , 4.5               , Fury LX                     -> Vanguard Harbinger
Fury LX                   , Vanguard Hoplite          , 4.5               , Fury LX                     -> Vanguard Hoplite
Fury LX                   , Vanguard Sentinel         , 4.5               , Fury LX                     -> Vanguard Sentinel
Fury LX                   , Vanguard Warden           , 4.5               , Fury LX                     -> Vanguard Warden
Fury LX                   , Vulcan                    , 5.333333333333333 , Fury LX                     -> Vulcan
Fury LX                   , Vulture                   , 3.5               , Fury LX                     -> Vulture
Fury LX                   , X1                        , 3.5               , Fury LX                     -> X1
Fury LX                   , X1 Force                  , 3.5               , Fury LX                     -> X1 Force
Fury LX                   , X1 Velocity               , 1.5               , Fury LX                     -> X1 Velocity
Fury LX                   , Zeus CL Mk II             , 4.833333333333333 , Fury LX                     -> Zeus CL Mk II
Fury LX                   , Zeus ES Mk II             , 4.833333333333333 , Fury LX                     -> Zeus ES Mk II
Fury LX                   , Zeus MR Mk II             , 5.333333333333333 , Fury LX                     -> Zeus MR Mk II
Fury MX                   , G12                       , 5.0               , Fury MX                     -> G12
Fury MX                   , G12a                      , 5.0               , Fury MX                     -> G12a
Fury MX                   , G12r                      , 5.0               , Fury MX                     -> G12r
Fury MX                   , Galaxy                    , 5.666666666666667 , Fury MX                     -> Galaxy
Fury MX                   , Genesis                   , 5.75              , Fury MX                     -> Genesis
Fury MX                   , Gladiator                 , 3.5               , Fury MX                     -> Gladiator
Fury MX                   , Gladius                   , 2.5               , Fury MX                     -> Gladius
Fury MX                   , Glaive                    , 2.5               , Fury MX                     -> Glaive
Fury MX                   , Guardian                  , 1.0               , Fury MX                     -> Guardian
Fury MX                   , Guardian QI               , 1.0               , Fury MX                     -> Guardian QI
Fury MX                   , Hammerhead                , 4.277777777777778 , Fury MX                     -> Hammerhead
Fury MX                   , Hawk                      , 2.5               , Fury MX                     -> Hawk
Fury MX                   , Herald                    , 3.5               , Fury MX                     -> Herald
Fury MX                   , HoverQuad                 , 3.5               , Fury MX                     -> HoverQuad
Fury MX                   , Hull A                    , 3.5               , Fury MX                     -> Hull A
Fury MX                   , Hull B                    , 4.0               , Fury MX                     -> Hull B
Fury MX                   , Hull C                    , 5.0               , Fury MX                     -> Hull C
Fury MX                   , Hull D                    , 5.6               , Fury MX                     -> Hull D
Fury MX                   , Hull E                    , 5.6               , Fury MX                     -> Hull E
Fury MX                   , Hurricane                 , 3.5               , Fury MX                     -> Hurricane
Fury MX                   , Idris-M                   , 4.928571428571429 , Fury MX                     -> Idris-M
Fury MX                   , Idris-P                   , 4.928571428571429 , Fury MX                     -> Idris-P
Fury MX                   , Intrepid                  , 3.5               , Fury MX                     -> Intrepid
Fury MX                   , Ironclad                  , 5.666666666666667 , Fury MX                     -> Ironclad
Fury MX                   , Ironclad Assault          , 4.666666666666667 , Fury MX                     -> Ironclad Assault
Fury MX                   , Javelin                   , 4.975             , Fury MX                     -> Javelin
Fury MX                   , Khartu-Al                 , 2.5               , Fury MX                     -> Khartu-Al
Fury MX                   , Kraken                    , 5.8               , Fury MX                     -> Kraken
Fury MX                   , Kraken Privateer          , 5.8               , Fury MX                     -> Kraken Privateer
Fury MX                   , Legionnaire               , 4.0               , Fury MX                     -> Legionnaire
Fury MX                   , Liberator                 , 5.0               , Fury MX                     -> Liberator
Fury MX                   , Lynx                      , 4.5               , Fury MX                     -> Lynx
Fury MX                   , M2 Hercules               , 3.833333333333333 , Fury MX                     -> M2 Hercules
Fury MX                   , M50                       , 3.5               , Fury MX                     -> M50
Fury MX                   , Mantis                    , 2.5               , Fury MX                     -> Mantis
Fury MX                   , Merchantman               , 5.75              , Fury MX                     -> Merchantman
Fury MX                   , Mercury                   , 4.833333333333333 , Fury MX                     -> Mercury
Fury MX                   , MOLE                      , 5.0               , Fury MX                     -> MOLE
Fury MX                   , MPUV Cargo                , 3.5               , Fury MX                     -> MPUV Cargo
Fury MX                   , MPUV Personnel            , 3.5               , Fury MX                     -> MPUV Personnel
Fury MX                   , MPUV Tractor              , 3.5               , Fury MX                     -> MPUV Tractor
Fury MX                   , Mule                      , 3.5               , Fury MX                     -> Mule
Fury MX                   , Mustang Alpha             , 3.5               , Fury MX                     -> Mustang Alpha
Fury MX                   , Mustang Beta              , 3.5               , Fury MX                     -> Mustang Beta
Fury MX                   , Mustang Delta             , 2.5               , Fury MX                     -> Mustang Delta
Fury MX                   , Mustang Gamma             , 3.5               , Fury MX                     -> Mustang Gamma
Fury MX                   , Mustang Omega             , 3.5               , Fury MX                     -> Mustang Omega
Fury MX                   , Nautilus                  , 4.75              , Fury MX                     -> Nautilus
Fury MX                   , Nomad                     , 3.5               , Fury MX                     -> Nomad
Fury MX                   , Nova                      , 4.833333333333333 , Fury MX                     -> Nova
Fury MX                   , Nox                       , 3.5               , Fury MX                     -> Nox
Fury MX                   , Odyssey                   , 4.0               , Fury MX                     -> Odyssey
Fury MX                   , Orion                     , 5.714285714285714 , Fury MX                     -> Orion
Fury MX                   , P-52 Merlin               , 1.5               , Fury MX                     -> P-52 Merlin
Fury MX                   , P-72 Archimedes           , 3.5               , Fury MX                     -> P-72 Archimedes
Fury MX                   , Paladin                   , 4.5               , Fury MX                     -> Paladin
Fury MX                   , Perseus                   , 4.666666666666667 , Fury MX                     -> Perseus
Fury MX                   , Pioneer                   , 5.75              , Fury MX                     -> Pioneer
Fury MX                   , Polaris                   , 4.333333333333333 , Fury MX                     -> Polaris
