vaisseau_depart,vaisseau_arrivee,poids
Glaive                    ,Reclaimer                 ,3
Glaive                    ,Redeemer                  ,2
Glaive                    ,Reliant Kore              ,3
Glaive                    ,Reliant Mako              ,3
Glaive                    ,Reliant Sen               ,3
Glaive                    ,Reliant Tana              ,2
Glaive                    ,Retaliator                ,2
Glaive                    ,ROC                       ,3
Glaive                    ,ROC-DS                    ,3
Glaive                    ,Sabre                     ,2
Glaive                    ,Sabre Firebird            ,1
Glaive                    ,Sabre Peregrine           ,3
Glaive                    ,Sabre Raven               ,2
Glaive                    ,San'tok.yāi               ,1
Glaive                    ,Scorpius                  ,2
Glaive                    ,Scorpius Antares          ,2
Glaive                    ,Scythe                    ,1
Glaive                    ,Spartan                   ,3
Glaive                    ,SRV                       ,3
Glaive                    ,Starfarer                 ,3
Glaive                    ,Starfarer Gemini          ,3
Glaive                    ,Starlancer MAX            ,3
Glaive                    ,Starlancer TAC            ,3
Glaive                    ,Storm                     ,3
Glaive                    ,Storm AA                  ,3
Glaive                    ,STV                       ,3
Glaive                    ,Talon                     ,1
Glaive                    ,Ursa                      ,3
Glaive                    ,Talon Shrike              ,1
Glaive                    ,Terrapin                  ,3
Glaive                    ,Terrapin Medic            ,3
Glaive                    ,Ursa                      ,3
Glaive                    ,Ursa Medivac              ,3
Glaive                    ,Valkyrie                  ,2
Glaive                    ,Vanguard Harbinger        ,2
Glaive                    ,Vanguard Hoplite          ,2
Glaive                    ,Vanguard Sentinel         ,2
Glaive                    ,Vanguard Warden           ,2
Glaive                    ,Vulcan                    ,4
Glaive                    ,Vulture                   ,3
Glaive                    ,X1                        ,3
Glaive                    ,X1 Force                  ,3
Glaive                    ,X1 Velocity               ,3
Glaive                    ,Zeus CL Mk II             ,3
Glaive                    ,Zeus ES Mk II             ,3
Glaive                    ,Zeus MR Mk II             ,3
Guardian                  ,100i                      ,3
Guardian                  ,125a                      ,3
Guardian                  ,135c                      ,3
Guardian                  ,300i                      ,3
Guardian                  ,315p                      ,3
Guardian                  ,325a                      ,2
Guardian                  ,350r                      ,3
Guardian                  ,400i                      ,3
Guardian                  ,600i Explorer             ,3
Guardian                  ,600i Touring              ,3
Guardian                  ,85X                       ,3
Guardian                  ,890 Jump                  ,3
Guardian                  ,A1 Spirit                 ,2
Guardian                  ,A2 Hercules               ,2
Guardian                  ,Apollo Medivac            ,4
Guardian                  ,Apollo Triage             ,4
Guardian                  ,Ares Star Fighter Inferno ,1
Guardian                  ,Ares Star Fighter Ion     ,1
Guardian                  ,Arrastra                  ,4
Guardian                  ,Arrow                     ,2
Guardian                  ,ATLS                      ,3
Guardian                  ,Aurora CL                 ,3
Guardian                  ,Aurora ES                 ,3
Guardian                  ,Aurora LN                 ,3
Guardian                  ,Aurora LX                 ,3
Guardian                  ,Aurora MR                 ,3
Guardian                  ,Avenger Stalker           ,2
Guardian                  ,Avenger Titan             ,3
Guardian                  ,Avenger Warlock           ,2
Guardian                  ,Ballista                  ,2
Guardian                  ,Blade                     ,2
Guardian                  ,Buccaneer                 ,2
Guardian                  ,C1 Spirit                 ,3
Guardian                  ,C2 Hercules               ,3
Guardian                  ,C8 Pisces                 ,3
Guardian                  ,C8R Pisces                ,3
Guardian                  ,C8X Pisces Expedition     ,3
Guardian                  ,Carrack                   ,3
Guardian                  ,Caterpillar               ,3
Guardian                  ,Centurion                 ,3
Guardian                  ,Constellation Andromeda   ,3
Guardian                  ,Constellation Aquila      ,3
Guardian                  ,Constellation Phoenix     ,3
Guardian                  ,Constellation Taurus      ,3
Guardian                  ,Corsair                   ,3
Guardian                  ,Crucible                  ,4
Guardian                  ,CSV-SM                    ,3
Guardian                  ,Cutlass Black             ,3
Guardian                  ,Cutlass Blue              ,2
Guardian                  ,Cutlass Red               ,3
Guardian                  ,Cutlass Steel             ,2
Guardian                  ,Cutter                    ,3
Guardian                  ,Cutter Rambler            ,3
Guardian                  ,Cutter Scout              ,3
Guardian                  ,Cyclone                   ,3
Guardian                  ,Cyclone AA                ,3
Guardian                  ,Cyclone MT                ,3
Guardian                  ,Cyclone RC                ,3
Guardian                  ,Cyclone RN                ,3
Guardian                  ,Cyclone TR                ,3
Guardian                  ,Defender                  ,2
Guardian                  ,Dragonfly                 ,3
Guardian                  ,E1 Spirit                 ,4
Guardian                  ,Eclipse                   ,2
Guardian                  ,Endeavor                  ,4
Guardian                  ,Expanse                   ,4
Guardian                  ,F7A Hornet Mk I           ,2
Guardian                  ,F7A Hornet Mk II          ,3
Guardian                  ,F7C Hornet Mk I           ,2
Guardian                  ,F7C Hornet Mk II          ,2
Guardian                  ,F7C-M Super Hornet        ,2
Guardian                  ,F7C-R Hornet Tracker      ,2
Guardian                  ,F7C-R Hornet Tracker Mk II,2
Guardian                  ,F7C-S Hornet Ghost        ,2
Guardian                  ,F7C-S Hornet Ghost Mk II  ,2
Guardian                  ,F8C Lightning             ,1
Guardian                  ,Freelancer                ,3
Guardian                  ,Freelancer DUR            ,3
Guardian                  ,Freelancer MAX            ,3
Guardian                  ,Freelancer MIS            ,2
Guardian                  ,Fury                      ,1
Guardian                  ,Fury LX                   ,2
Guardian                  ,Fury MX                   ,1
Guardian                  ,G12                       ,4
Guardian                  ,G12a                      ,4
Guardian                  ,G12r                      ,4
Guardian                  ,Galaxy                    ,4
Guardian                  ,Genesis                   ,4
Guardian                  ,Gladiator                 ,2
Guardian                  ,Gladius                   ,2
Guardian                  ,Glaive                    ,2
Guardian                  ,Guardian QI               ,0
Guardian                  ,Hammerhead                ,2
Guardian                  ,Hawk                      ,2
Guardian                  ,Herald                    ,3
Guardian                  ,HoverQuad                 ,3
Guardian                  ,Hull A                    ,3
Guardian                  ,Hull B                    ,4
Guardian                  ,Hull C                    ,3
Guardian                  ,Hull D                    ,4
Guardian                  ,Hull E                    ,4
Guardian                  ,Hurricane                 ,1
Guardian                  ,Idris-M                   ,3
Guardian                  ,Idris-P                   ,3
Guardian                  ,Intrepid                  ,3
Guardian                  ,Ironclad                  ,4
Guardian                  ,Ironclad Assault          ,3
Guardian                  ,Javelin                   ,3
Guardian                  ,Khartu-Al                 ,2
Guardian                  ,Kraken                    ,4
Guardian                  ,Kraken Privateer          ,4
Guardian                  ,Legionnaire               ,3
Guardian                  ,Liberator                 ,4
Guardian                  ,Lynx                      ,3
Guardian                  ,M2 Hercules               ,2
Guardian                  ,M50                       ,3
Guardian                  ,Mantis                    ,2
Guardian                  ,Merchantman               ,4
Guardian                  ,Mercury                   ,3
Guardian                  ,MOLE                      ,3
Guardian                  ,MPUV Cargo                ,3
Guardian                  ,MPUV Personnel            ,3
Guardian                  ,MPUV Tractor              ,3
Guardian                  ,Mule                      ,3
Guardian                  ,Mustang Alpha             ,3
Guardian                  ,Mustang Beta              ,3
Guardian                  ,Mustang Delta             ,2
Guardian                  ,Mustang Gamma             ,3
Guardian                  ,Mustang Omega             ,3
Guardian                  ,Nautilus                  ,3
Guardian                  ,Nomad                     ,3
Guardian                  ,Nova                      ,3
Guardian                  ,Nox                       ,3
Guardian                  ,Odyssey                   ,4
Guardian                  ,Orion                     ,4
Guardian                  ,P-52 Merlin               ,2
Guardian                  ,P-72 Archimedes           ,3
Guardian                  ,Paladin                   ,3
Guardian                  ,Perseus                   ,3
Guardian                  ,Pioneer                   ,4
Guardian                  ,Polaris                   ,2
Guardian                  ,Prospector                ,3
Guardian                  ,Prowler                   ,2
Guardian                  ,PTV                       ,3
Guardian                  ,Pulse                     ,2
Guardian                  ,Pulse LX                  ,2
Guardian                  ,RAFT                      ,3
Guardian                  ,Railen                    ,4
Guardian                  ,Ranger CV                 ,4
Guardian                  ,Ranger RC                 ,4
Guardian                  ,Ranger TR                 ,4
Guardian                  ,Razor                     ,2
Guardian                  ,Razor EX                  ,2
Guardian                  ,Razor LX                  ,2
Guardian                  ,Reclaimer                 ,3
Guardian                  ,Redeemer                  ,2
Guardian                  ,Reliant Kore              ,3
Guardian                  ,Reliant Mako              ,3
Guardian                  ,Reliant Sen               ,3
Guardian                  ,Reliant Tana              ,2
Guardian                  ,Retaliator                ,2
Guardian                  ,ROC                       ,3
Guardian                  ,ROC-DS                    ,3
Guardian                  ,Sabre                     ,2
Guardian                  ,Sabre Firebird            ,2
Guardian                  ,Sabre Peregrine           ,3
Guardian                  ,Sabre Raven               ,2
Guardian                  ,San'tok.yāi               ,2
Guardian                  ,Scorpius                  ,1
Guardian                  ,Scorpius Antares          ,1
Guardian                  ,Scythe                    ,2
Guardian                  ,Spartan                   ,3
Guardian                  ,SRV                       ,3
Guardian                  ,Starfarer                 ,3
Guardian                  ,Starfarer Gemini          ,3
Guardian                  ,Starlancer MAX            ,3
Guardian                  ,Starlancer TAC            ,3
Guardian                  ,Storm                     ,3
Guardian                  ,Storm AA                  ,3
Guardian                  ,STV                       ,3
Guardian                  ,Talon                     ,2
Guardian                  ,Ursa                      ,3
Guardian                  ,Talon Shrike              ,2
Guardian                  ,Terrapin                  ,3
Guardian                  ,Terrapin Medic            ,3
Guardian                  ,Ursa                      ,3
Guardian                  ,Ursa Medivac              ,3
Guardian                  ,Valkyrie                  ,2
Guardian                  ,Vanguard Harbinger        ,2
Guardian                  ,Vanguard Hoplite          ,2
Guardian                  ,Vanguard Sentinel         ,2
Guardian                  ,Vanguard Warden           ,1
Guardian                  ,Vulcan                    ,4
Guardian                  ,Vulture                   ,3
Guardian                  ,X1                        ,3
Guardian                  ,X1 Force                  ,3
Guardian                  ,X1 Velocity               ,3
Guardian                  ,Zeus CL Mk II             ,3
Guardian                  ,Zeus ES Mk II             ,3
Guardian                  ,Zeus MR Mk II             ,3
Guardian QI               ,100i                      ,3
Guardian QI               ,125a                      ,3
Guardian QI               ,135c                      ,3
Guardian QI               ,300i                      ,3
Guardian QI               ,315p                      ,3
Guardian QI               ,325a                      ,2
Guardian QI               ,350r                      ,3
Guardian QI               ,400i                      ,3
Guardian QI               ,600i Explorer             ,3
Guardian QI               ,600i Touring              ,3
Guardian QI               ,85X                       ,3
Guardian QI               ,890 Jump                  ,3
Guardian QI               ,A1 Spirit                 ,2
Guardian QI               ,A2 Hercules               ,2
Guardian QI               ,Apollo Medivac            ,4
Guardian QI               ,Apollo Triage             ,4
Guardian QI               ,Ares Star Fighter Inferno ,1
Guardian QI               ,Ares Star Fighter Ion     ,1
Guardian QI               ,Arrastra                  ,4
Guardian QI               ,Arrow                     ,2
Guardian QI               ,ATLS                      ,3
Guardian QI               ,Aurora CL                 ,3
Guardian QI               ,Aurora ES                 ,3
Guardian QI               ,Aurora LN                 ,3
Guardian QI               ,Aurora LX                 ,3
Guardian QI               ,Aurora MR                 ,3
Guardian QI               ,Avenger Stalker           ,2
Guardian QI               ,Avenger Titan             ,3
Guardian QI               ,Avenger Warlock           ,2
Guardian QI               ,Ballista                  ,2
Guardian QI               ,Blade                     ,2
Guardian QI               ,Buccaneer                 ,2
Guardian QI               ,C1 Spirit                 ,3
Guardian QI               ,C2 Hercules               ,3
Guardian QI               ,C8 Pisces                 ,3
Guardian QI               ,C8R Pisces                ,3
Guardian QI               ,C8X Pisces Expedition     ,3
Guardian QI               ,Carrack                   ,3
Guardian QI               ,Caterpillar               ,3
Guardian QI               ,Centurion                 ,3
Guardian QI               ,Constellation Andromeda   ,3
Guardian QI               ,Constellation Aquila      ,3
Guardian QI               ,Constellation Phoenix     ,3
Guardian QI               ,Constellation Taurus      ,3
Guardian QI               ,Corsair                   ,3
Guardian QI               ,Crucible                  ,4
Guardian QI               ,CSV-SM                    ,3
Guardian QI               ,Cutlass Black             ,3
Guardian QI               ,Cutlass Blue              ,2
Guardian QI               ,Cutlass Red               ,3
Guardian QI               ,Cutlass Steel             ,2
Guardian QI               ,Cutter                    ,3
Guardian QI               ,Cutter Rambler            ,3
Guardian QI               ,Cutter Scout              ,3
Guardian QI               ,Cyclone                   ,3
Guardian QI               ,Cyclone AA                ,3
Guardian QI               ,Cyclone MT                ,3
Guardian QI               ,Cyclone RC                ,3
Guardian QI               ,Cyclone RN                ,3
Guardian QI               ,Cyclone TR                ,3
Guardian QI               ,Defender                  ,2
Guardian QI               ,Dragonfly                 ,3
Guardian QI               ,E1 Spirit                 ,4
Guardian QI               ,Eclipse                   ,2
Guardian QI               ,Endeavor                  ,4
Guardian QI               ,Expanse                   ,4
Guardian QI               ,F7A Hornet Mk I           ,2
Guardian QI               ,F7A Hornet Mk II          ,3
Guardian QI               ,F7C Hornet Mk I           ,2
Guardian QI               ,F7C Hornet Mk II          ,2
Guardian QI               ,F7C-M Super Hornet        ,2
Guardian QI               ,F7C-R Hornet Tracker      ,2
Guardian QI               ,F7C-R Hornet Tracker Mk II,2
Guardian QI               ,F7C-S Hornet Ghost        ,2
Guardian QI               ,F7C-S Hornet Ghost Mk II  ,2
Guardian QI               ,F8C Lightning             ,1
Guardian QI               ,Freelancer                ,3
Guardian QI               ,Freelancer DUR            ,3
Guardian QI               ,Freelancer MAX            ,3
Guardian QI               ,Freelancer MIS            ,2
Guardian QI               ,Fury                      ,1
Guardian QI               ,Fury LX                   ,2
Guardian QI               ,Fury MX                   ,1
Guardian QI               ,G12                       ,4
Guardian QI               ,G12a                      ,4
Guardian QI               ,G12r                      ,4
Guardian QI               ,Galaxy                    ,4
Guardian QI               ,Genesis                   ,4
Guardian QI               ,Gladiator                 ,2
Guardian QI               ,Gladius                   ,2
Guardian QI               ,Glaive                    ,2
Guardian QI               ,Guardian                  ,0
Guardian QI               ,Hammerhead                ,2
Guardian QI               ,Hawk                      ,2
Guardian QI               ,Herald                    ,3
Guardian QI               ,HoverQuad                 ,3
Guardian QI               ,Hull A                    ,3
Guardian QI               ,Hull B                    ,4
Guardian QI               ,Hull C                    ,3
Guardian QI               ,Hull D                    ,4
Guardian QI               ,Hull E                    ,4
Guardian QI               ,Hurricane                 ,1
Guardian QI               ,Idris-M                   ,3
Guardian QI               ,Idris-P                   ,3
Guardian QI               ,Intrepid                  ,3
Guardian QI               ,Ironclad                  ,4
Guardian QI               ,Ironclad Assault          ,3
Guardian QI               ,Javelin                   ,3
Guardian QI               ,Khartu-Al                 ,2
Guardian QI               ,Kraken                    ,4
Guardian QI               ,Kraken Privateer          ,4
Guardian QI               ,Legionnaire               ,3
Guardian QI               ,Liberator                 ,4
Guardian QI               ,Lynx                      ,3
Guardian QI               ,M2 Hercules               ,2
Guardian QI               ,M50                       ,3
Guardian QI               ,Mantis                    ,2
Guardian QI               ,Merchantman               ,4
Guardian QI               ,Mercury                   ,3
Guardian QI               ,MOLE                      ,3
Guardian QI               ,MPUV Cargo                ,3
Guardian QI               ,MPUV Personnel            ,3
Guardian QI               ,MPUV Tractor              ,3
Guardian QI               ,Mule                      ,3
Guardian QI               ,Mustang Alpha             ,3
Guardian QI               ,Mustang Beta              ,3
Guardian QI               ,Mustang Delta             ,2
Guardian QI               ,Mustang Gamma             ,3
Guardian QI               ,Mustang Omega             ,3
Guardian QI               ,Nautilus                  ,3
Guardian QI               ,Nomad                     ,3
Guardian QI               ,Nova                      ,3
Guardian QI               ,Nox                       ,3
Guardian QI               ,Odyssey                   ,4
Guardian QI               ,Orion                     ,4
Guardian QI               ,P-52 Merlin               ,2
Guardian QI               ,P-72 Archimedes           ,3
Guardian QI               ,Paladin                   ,3
Guardian QI               ,Perseus                   ,3
Guardian QI               ,Pioneer                   ,4
Guardian QI               ,Polaris                   ,2
Guardian QI               ,Prospector                ,3
Guardian QI               ,Prowler                   ,2
Guardian QI               ,PTV                       ,3
Guardian QI               ,Pulse                     ,2
Guardian QI               ,Pulse LX                  ,2
Guardian QI               ,RAFT                      ,3
Guardian QI               ,Railen                    ,4
Guardian QI               ,Ranger CV                 ,4
Guardian QI               ,Ranger RC                 ,4
Guardian QI               ,Ranger TR                 ,4
Guardian QI               ,Razor                     ,2
Guardian QI               ,Razor EX                  ,2
Guardian QI               ,Razor LX                  ,2
Guardian QI               ,Reclaimer                 ,3
Guardian QI               ,Redeemer                  ,2
Guardian QI               ,Reliant Kore              ,3
Guardian QI               ,Reliant Mako              ,3
Guardian QI               ,Reliant Sen               ,3
Guardian QI               ,Reliant Tana              ,2
Guardian QI               ,Retaliator                ,2
Guardian QI               ,ROC                       ,3
Guardian QI               ,ROC-DS                    ,3
Guardian QI               ,Sabre                     ,2
Guardian QI               ,Sabre Firebird            ,2
Guardian QI               ,Sabre Peregrine           ,3
Guardian QI               ,Sabre Raven               ,2
Guardian QI               ,San'tok.yāi               ,2
Guardian QI               ,Scorpius                  ,1
Guardian QI               ,Scorpius Antares          ,1
Guardian QI               ,Scythe                    ,2
Guardian QI               ,Spartan                   ,3
Guardian QI               ,SRV                       ,3
Guardian QI               ,Starfarer                 ,3
Guardian QI               ,Starfarer Gemini          ,3
Guardian QI               ,Starlancer MAX            ,3
Guardian QI               ,Starlancer TAC            ,3
Guardian QI               ,Storm                     ,3
Guardian QI               ,Storm AA                  ,3
Guardian QI               ,STV                       ,3
Guardian QI               ,Talon                     ,2
Guardian QI               ,Ursa                      ,3
Guardian QI               ,Talon Shrike              ,2
Guardian QI               ,Terrapin                  ,3
Guardian QI               ,Terrapin Medic            ,3
Guardian QI               ,Ursa                      ,3
Guardian QI               ,Ursa Medivac              ,3
Guardian QI               ,Valkyrie                  ,2
Guardian QI               ,Vanguard Harbinger        ,2
Guardian QI               ,Vanguard Hoplite          ,2
Guardian QI               ,Vanguard Sentinel         ,2
Guardian QI               ,Vanguard Warden           ,1
Guardian QI               ,Vulcan                    ,4
Guardian QI               ,Vulture                   ,3
Guardian QI               ,X1                        ,3
Guardian QI               ,X1 Force                  ,3
Guardian QI               ,X1 Velocity               ,3
Guardian QI               ,Zeus CL Mk II             ,3
Guardian QI               ,Zeus ES Mk II             ,3
Guardian QI               ,Zeus MR Mk II             ,3
Hammerhead                ,100i                      ,3
Hammerhead                ,125a                      ,3
Hammerhead                ,135c                      ,3
Hammerhead                ,300i                      ,3
Hammerhead                ,315p                      ,3
Hammerhead                ,325a                      ,2
Hammerhead                ,350r                      ,3
Hammerhead                ,400i                      ,3
Hammerhead                ,600i Explorer             ,3
Hammerhead                ,600i Touring              ,3
Hammerhead                ,85X                       ,3
Hammerhead                ,890 Jump                  ,3
Hammerhead                ,A1 Spirit                 ,2
Hammerhead                ,A2 Hercules               ,2
Hammerhead                ,Apollo Medivac            ,4
Hammerhead                ,Apollo Triage             ,4
Hammerhead                ,Ares Star Fighter Inferno ,2
Hammerhead                ,Ares Star Fighter Ion     ,2
Hammerhead                ,Arrastra                  ,4
Hammerhead                ,Arrow                     ,2
Hammerhead                ,ATLS                      ,3
Hammerhead                ,Aurora CL                 ,3
Hammerhead                ,Aurora ES                 ,3
Hammerhead                ,Aurora LN                 ,3
Hammerhead                ,Aurora LX                 ,3
Hammerhead                ,Aurora MR                 ,3
Hammerhead                ,Avenger Stalker           ,1
Hammerhead                ,Avenger Titan             ,2
Hammerhead                ,Avenger Warlock           ,1
Hammerhead                ,Ballista                  ,2
Hammerhead                ,Blade                     ,2
Hammerhead                ,Buccaneer                 ,2
Hammerhead                ,C1 Spirit                 ,3
Hammerhead                ,C2 Hercules               ,3
Hammerhead                ,C8 Pisces                 ,3
Hammerhead                ,C8R Pisces                ,3
Hammerhead                ,C8X Pisces Expedition     ,3
Hammerhead                ,Carrack                   ,3
Hammerhead                ,Caterpillar               ,3
Hammerhead                ,Centurion                 ,3
Hammerhead                ,Constellation Andromeda   ,3
Hammerhead                ,Constellation Aquila      ,3
Hammerhead                ,Constellation Phoenix     ,3
Hammerhead                ,Constellation Taurus      ,3
Hammerhead                ,Corsair                   ,3
Hammerhead                ,Crucible                  ,4
Hammerhead                ,CSV-SM                    ,3
Hammerhead                ,Cutlass Black             ,3
Hammerhead                ,Cutlass Blue              ,2
Hammerhead                ,Cutlass Red               ,3
Hammerhead                ,Cutlass Steel             ,2
Hammerhead                ,Cutter                    ,3
Hammerhead                ,Cutter Rambler            ,3
Hammerhead                ,Cutter Scout              ,3
Hammerhead                ,Cyclone                   ,3
Hammerhead                ,Cyclone AA                ,3
Hammerhead                ,Cyclone MT                ,3
Hammerhead                ,Cyclone RC                ,3
Hammerhead                ,Cyclone RN                ,3
Hammerhead                ,Cyclone TR                ,3
Hammerhead                ,Defender                  ,2
Hammerhead                ,Dragonfly                 ,3
Hammerhead                ,E1 Spirit                 ,4
Hammerhead                ,Eclipse                   ,1
Hammerhead                ,Endeavor                  ,4
Hammerhead                ,Expanse                   ,4
Hammerhead                ,F7A Hornet Mk I           ,2
Hammerhead                ,F7A Hornet Mk II          ,3
Hammerhead                ,F7C Hornet Mk I           ,2
Hammerhead                ,F7C Hornet Mk II          ,2
Hammerhead                ,F7C-M Super Hornet        ,2
Hammerhead                ,F7C-R Hornet Tracker      ,2
Hammerhead                ,F7C-R Hornet Tracker Mk II,2
Hammerhead                ,F7C-S Hornet Ghost        ,2
Hammerhead                ,F7C-S Hornet Ghost Mk II  ,2
Hammerhead                ,F8C Lightning             ,2
Hammerhead                ,Freelancer                ,3
Hammerhead                ,Freelancer DUR            ,3
Hammerhead                ,Freelancer MAX            ,3
Hammerhead                ,Freelancer MIS            ,2
Hammerhead                ,Fury                      ,2
Hammerhead                ,Fury LX                   ,3
Hammerhead                ,Fury MX                   ,2
Hammerhead                ,G12                       ,4
Hammerhead                ,G12a                      ,4
Hammerhead                ,G12r                      ,4
Hammerhead                ,Galaxy                    ,4
Hammerhead                ,Genesis                   ,4
Hammerhead                ,Gladiator                 ,2
Hammerhead                ,Gladius                   ,1
Hammerhead                ,Glaive                    ,2
Hammerhead                ,Guardian                  ,2
Hammerhead                ,Guardian QI               ,2
Hammerhead                ,Hawk                      ,2
Hammerhead                ,Herald                    ,3
Hammerhead                ,HoverQuad                 ,3
Hammerhead                ,Hull A                    ,3
Hammerhead                ,Hull B                    ,4
Hammerhead                ,Hull C                    ,3
Hammerhead                ,Hull D                    ,4
Hammerhead                ,Hull E                    ,4
Hammerhead                ,Hurricane                 ,2
Hammerhead                ,Idris-M                   ,2
Hammerhead                ,Idris-P                   ,2
Hammerhead                ,Intrepid                  ,3
Hammerhead                ,Ironclad                  ,4
Hammerhead                ,Ironclad Assault          ,3
Hammerhead                ,Javelin                   ,2
Hammerhead                ,Khartu-Al                 ,2
Hammerhead                ,Kraken                    ,4
Hammerhead                ,Kraken Privateer          ,4
Hammerhead                ,Legionnaire               ,3
Hammerhead                ,Liberator                 ,4
Hammerhead                ,Lynx                      ,3
Hammerhead                ,M2 Hercules               ,2
Hammerhead                ,M50                       ,3
Hammerhead                ,Mantis                    ,2
Hammerhead                ,Merchantman               ,4
Hammerhead                ,Mercury                   ,3
Hammerhead                ,MOLE                      ,3
Hammerhead                ,MPUV Cargo                ,3
Hammerhead                ,MPUV Personnel            ,3
Hammerhead                ,MPUV Tractor              ,3
Hammerhead                ,Mule                      ,3
Hammerhead                ,Mustang Alpha             ,3
Hammerhead                ,Mustang Beta              ,3
Hammerhead                ,Mustang Delta             ,2
Hammerhead                ,Mustang Gamma             ,3
Hammerhead                ,Mustang Omega             ,3
Hammerhead                ,Nautilus                  ,2
Hammerhead                ,Nomad                     ,3
Hammerhead                ,Nova                      ,3
Hammerhead                ,Nox                       ,3
Hammerhead                ,Odyssey                   ,4
Hammerhead                ,Orion                     ,4
Hammerhead                ,P-52 Merlin               ,2
Hammerhead                ,P-72 Archimedes           ,3
Hammerhead                ,Paladin                   ,3
Hammerhead                ,Perseus                   ,3
Hammerhead                ,Pioneer                   ,4
Hammerhead                ,Polaris                   ,2
Hammerhead                ,Prospector                ,3
Hammerhead                ,Prowler                   ,2
Hammerhead                ,PTV                       ,3
Hammerhead                ,Pulse                     ,3
Hammerhead                ,Pulse LX                  ,3
Hammerhead                ,RAFT                      ,3
Hammerhead                ,Railen                    ,4
Hammerhead                ,Ranger CV                 ,4
Hammerhead                ,Ranger RC                 ,4
Hammerhead                ,Ranger TR                 ,4
Hammerhead                ,Razor                     ,3
Hammerhead                ,Razor EX                  ,3
Hammerhead                ,Razor LX                  ,3
Hammerhead                ,Reclaimer                 ,2
Hammerhead                ,Redeemer                  ,1
Hammerhead                ,Reliant Kore              ,3
Hammerhead                ,Reliant Mako              ,3
Hammerhead                ,Reliant Sen               ,3
Hammerhead                ,Reliant Tana              ,2
Hammerhead                ,Retaliator                ,1
Hammerhead                ,ROC                       ,3
Hammerhead                ,ROC-DS                    ,3
Hammerhead                ,Sabre                     ,1
Hammerhead                ,Sabre Firebird            ,1
Hammerhead                ,Sabre Peregrine           ,2
Hammerhead                ,Sabre Raven               ,1
Hammerhead                ,San'tok.yāi               ,2
Hammerhead                ,Scorpius                  ,2
Hammerhead                ,Scorpius Antares          ,2
Hammerhead                ,Scythe                    ,2
Hammerhead                ,Spartan                   ,3
Hammerhead                ,SRV                       ,3
Hammerhead                ,Starfarer                 ,3
Hammerhead                ,Starfarer Gemini          ,3
Hammerhead                ,Starlancer MAX            ,3
Hammerhead                ,Starlancer TAC            ,3
Hammerhead                ,Storm                     ,3
Hammerhead                ,Storm AA                  ,3
Hammerhead                ,STV                       ,3
Hammerhead                ,Talon                     ,2
Hammerhead                ,Ursa                      ,3
Hammerhead                ,Talon Shrike              ,2
Hammerhead                ,Terrapin                  ,3
Hammerhead                ,Terrapin Medic            ,3
Hammerhead                ,Ursa                      ,3
Hammerhead                ,Ursa Medivac              ,3
Hammerhead                ,Valkyrie                  ,2
Hammerhead                ,Vanguard Harbinger        ,1
Hammerhead                ,Vanguard Hoplite          ,1
Hammerhead                ,Vanguard Sentinel         ,1
Hammerhead                ,Vanguard Warden           ,1
Hammerhead                ,Vulcan                    ,3
Hammerhead                ,Vulture                   ,3
Hammerhead                ,X1                        ,3
Hammerhead                ,X1 Force                  ,3
Hammerhead                ,X1 Velocity               ,3
Hammerhead                ,Zeus CL Mk II             ,3
Hammerhead                ,Zeus ES Mk II             ,3
Hammerhead                ,Zeus MR Mk II             ,3
Hawk                      ,100i                      ,3
Hawk                      ,125a                      ,3
Hawk                      ,135c                      ,3
Hawk                      ,300i                      ,3
Hawk                      ,315p                      ,3
Hawk                      ,325a                      ,2
Hawk                      ,350r                      ,3
Hawk                      ,400i                      ,3
Hawk                      ,600i Explorer             ,3
Hawk                      ,600i Touring              ,3
Hawk                      ,85X                       ,3
Hawk                      ,890 Jump                  ,3
Hawk                      ,A1 Spirit                 ,2
Hawk                      ,A2 Hercules               ,2
Hawk                      ,Apollo Medivac            ,4
Hawk                      ,Apollo Triage             ,4
Hawk                      ,Ares Star Fighter Inferno ,2
Hawk                      ,Ares Star Fighter Ion     ,2
Hawk                      ,Arrastra                  ,4
Hawk                      ,Arrow                     ,0
Hawk                      ,ATLS                      ,3
Hawk                      ,Aurora CL                 ,3
Hawk                      ,Aurora ES                 ,3
Hawk                      ,Aurora LN                 ,2
Hawk                      ,Aurora LX                 ,3
Hawk                      ,Aurora MR                 ,2
Hawk                      ,Avenger Stalker           ,2
Hawk                      ,Avenger Titan             ,3
Hawk                      ,Avenger Warlock           ,2
Hawk                      ,Ballista                  ,1
Hawk                      ,Blade                     ,1
Hawk                      ,Buccaneer                 ,2
Hawk                      ,C1 Spirit                 ,3
Hawk                      ,C2 Hercules               ,3
Hawk                      ,C8 Pisces                 ,2
Hawk                      ,C8R Pisces                ,2
Hawk                      ,C8X Pisces Expedition     ,2
Hawk                      ,Carrack                   ,2
Hawk                      ,Caterpillar               ,3
Hawk                      ,Centurion                 ,2
Hawk                      ,Constellation Andromeda   ,3
Hawk                      ,Constellation Aquila      ,3
Hawk                      ,Constellation Phoenix     ,3
Hawk                      ,Constellation Taurus      ,3
Hawk                      ,Corsair                   ,3
Hawk                      ,Crucible                  ,3
Hawk                      ,CSV-SM                    ,3
Hawk                      ,Cutlass Black             ,3
Hawk                      ,Cutlass Blue              ,2
